[2026-04-09 08:50:13] train_start model=DDQN algorithm=DDQN name=ddqn-no-obstacle episodes=6000 obstacle_map=Yok
[2026-04-09 08:50:49] ep=100 success_100=0/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.9324 time_100=40.78s total_time=40.78s
[2026-04-09 08:51:47] ep=200 success_100=3/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.8693 time_100=60.25s total_time=101.03s
[2026-04-09 08:52:42] ep=300 success_100=3/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.8105 time_100=60.25s total_time=161.28s
[2026-04-09 08:53:38] ep=400 success_100=4/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.7557 time_100=60.24s total_time=221.52s
[2026-04-09 08:54:35] ep=500 success_100=3/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.7046 time_100=57.68s total_time=279.20s
[2026-04-09 08:55:54] ep=600 success_100=14/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.6570 time_100=84.42s total_time=363.62s
[2026-04-09 08:56:54] ep=700 success_100=9/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.6125 time_100=64.53s total_time=428.16s
[2026-04-09 08:57:55] ep=800 success_100=7/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.5711 time_100=64.75s total_time=492.91s
[2026-04-09 08:58:52] ep=900 success_100=15/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.5325 time_100=61.83s total_time=554.73s
[2026-04-09 08:59:51] ep=1000 success_100=3/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.4965 time_100=63.86s total_time=618.59s
[2026-04-09 09:00:52] ep=1100 success_100=9/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.4629 time_100=68.77s total_time=687.36s
[2026-04-09 09:01:53] ep=1200 success_100=17/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.4316 time_100=66.27s total_time=753.62s
[2026-04-09 09:03:01] ep=1300 success_100=24/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.4024 time_100=72.24s total_time=825.87s
[2026-04-09 09:04:04] ep=1400 success_100=25/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.3752 time_100=68.33s total_time=894.19s
[2026-04-09 09:05:06] ep=1500 success_100=33/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.3498 time_100=67.33s total_time=961.52s
[2026-04-09 09:06:14] ep=1600 success_100=13/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.3262 time_100=72.58s total_time=1034.10s
[2026-04-09 09:07:20] ep=1700 success_100=7/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.3041 time_100=73.97s total_time=1108.07s
