episode,reward,steps,energy,charge_visits,cleaned_cells,success,epsilon,blocked,battery_dead,time_since_start_sec,episode_chunk_time_sec,stop_reason,success_rate,battery,cleaned,model_name,algorithm
1,74.0,250,250,24,42,0,0.9993,0,False,0.009,0.009,,0.0%,16/16,42/48,ddqn-no-obstacle,DDQN
2,66.2,250,250,24,42,0,0.9986,0,False,0.019,0.008,,0.0%,10/16,42/48,ddqn-no-obstacle,DDQN
3,92.8,250,250,25,47,0,0.9979,0,False,0.224,0.006,,0.0%,14/16,47/48,ddqn-no-obstacle,DDQN
4,92.9,250,250,16,45,0,0.9972,0,False,0.377,0.027,,0.0%,10/16,45/48,ddqn-no-obstacle,DDQN
5,72.5,250,250,25,43,0,0.9965,0,False,0.495,0.006,,0.0%,10/16,43/48,ddqn-no-obstacle,DDQN
6,81.0,250,250,21,44,0,0.9958,0,False,0.616,0.006,,0.0%,4/16,44/48,ddqn-no-obstacle,DDQN
7,65.9,250,250,23,41,0,0.9951,0,False,0.757,0.011,,0.0%,2/16,41/48,ddqn-no-obstacle,DDQN
8,64.9,250,250,24,41,0,0.9944,0,False,0.999,0.009,,0.0%,10/16,41/48,ddqn-no-obstacle,DDQN
9,54.6,250,250,24,39,0,0.9937,0,False,1.128,0.009,,0.0%,16/16,39/48,ddqn-no-obstacle,DDQN
10,65.8,250,250,26,41,0,0.993,0,False,1.346,0.007,,0.0%,4/16,41/48,ddqn-no-obstacle,DDQN
11,78.3,250,250,18,43,0,0.9923,0,False,1.631,0.149,,0.0%,12/16,43/48,ddqn-no-obstacle,DDQN
12,44.8,250,250,25,38,0,0.9916,0,False,1.641,0.01,,0.0%,8/16,38/48,ddqn-no-obstacle,DDQN
13,94.5,250,250,25,47,0,0.9909,0,False,1.877,0.024,,0.0%,14/16,47/48,ddqn-no-obstacle,DDQN
14,78.9,250,250,22,43,0,0.9902,0,False,2.157,0.155,,0.0%,16/16,43/48,ddqn-no-obstacle,DDQN
15,48.1,250,250,22,37,0,0.9896,0,False,2.572,0.315,,0.0%,16/16,37/48,ddqn-no-obstacle,DDQN
16,51.5,250,250,22,38,0,0.9889,0,False,2.665,0.007,,0.0%,14/16,38/48,ddqn-no-obstacle,DDQN
17,70.0,250,250,23,42,0,0.9882,0,False,2.887,0.008,,0.0%,10/16,42/48,ddqn-no-obstacle,DDQN
18,70.0,250,250,26,41,0,0.9875,0,False,3.095,0.082,,0.0%,16/16,41/48,ddqn-no-obstacle,DDQN
19,65.7,250,250,26,41,0,0.9868,0,False,3.167,0.024,,0.0%,16/16,41/48,ddqn-no-obstacle,DDQN
20,86.2,250,250,26,45,0,0.9861,0,False,3.275,0.007,,0.0%,4/16,45/48,ddqn-no-obstacle,DDQN
21,61.5,250,250,23,40,0,0.9854,0,False,3.395,0.008,,0.0%,16/16,40/48,ddqn-no-obstacle,DDQN
22,91.9,250,250,23,46,0,0.9847,0,False,3.516,0.004,,0.0%,6/16,46/48,ddqn-no-obstacle,DDQN
23,96.6,250,250,20,47,0,0.984,0,False,3.732,0.008,,0.0%,8/16,47/48,ddqn-no-obstacle,DDQN
24,42.0,250,250,24,37,0,0.9833,0,False,4.031,0.008,,0.0%,8/16,37/48,ddqn-no-obstacle,DDQN
25,78.3,250,250,22,44,0,0.9826,0,False,4.145,0.004,,0.0%,8/16,44/48,ddqn-no-obstacle,DDQN
26,70.9,250,250,30,42,0,0.982,0,False,4.263,0.005,,0.0%,16/16,42/48,ddqn-no-obstacle,DDQN
27,70.1,250,250,22,41,0,0.9813,0,False,4.521,0.144,,0.0%,16/16,41/48,ddqn-no-obstacle,DDQN
28,78.9,250,250,20,44,0,0.9806,0,False,4.526,0.005,,0.0%,12/16,44/48,ddqn-no-obstacle,DDQN
29,67.6,250,250,21,40,0,0.9799,0,False,4.77,0.135,,0.0%,16/16,40/48,ddqn-no-obstacle,DDQN
30,85.0,250,250,21,45,0,0.9792,0,False,5.012,0.153,,0.0%,8/16,45/48,ddqn-no-obstacle,DDQN
31,60.1,250,250,26,40,0,0.9785,0,False,5.104,0.005,,0.0%,12/16,40/48,ddqn-no-obstacle,DDQN
32,94.9,250,250,23,45,0,0.9778,0,False,5.559,0.142,,0.0%,10/16,45/48,ddqn-no-obstacle,DDQN
33,52.3,250,250,21,38,0,0.9772,0,False,5.793,0.15,,0.0%,8/16,38/48,ddqn-no-obstacle,DDQN
34,54.1,250,250,23,39,0,0.9765,0,False,6.015,0.145,,0.0%,6/16,39/48,ddqn-no-obstacle,DDQN
35,45.1,250,250,29,38,0,0.9758,0,False,6.193,0.093,,0.0%,2/16,38/48,ddqn-no-obstacle,DDQN
36,64.6,250,250,19,41,0,0.9751,0,False,6.247,0.004,,0.0%,12/16,41/48,ddqn-no-obstacle,DDQN
37,86.0,250,250,22,45,0,0.9744,0,False,6.635,0.174,,0.0%,2/16,45/48,ddqn-no-obstacle,DDQN
38,84.0,250,250,21,44,0,0.9737,0,False,6.799,0.078,,0.0%,16/16,44/48,ddqn-no-obstacle,DDQN
39,72.1,250,250,25,44,0,0.9731,0,False,6.863,0.005,,0.0%,4/16,44/48,ddqn-no-obstacle,DDQN
40,73.6,250,250,23,42,0,0.9724,0,False,7.083,0.004,,0.0%,14/16,42/48,ddqn-no-obstacle,DDQN
41,49.3,250,250,24,38,0,0.9717,0,False,7.759,0.558,,0.0%,10/16,38/48,ddqn-no-obstacle,DDQN
42,64.1,250,250,25,40,0,0.971,0,False,8.287,0.528,,0.0%,4/16,40/48,ddqn-no-obstacle,DDQN
43,72.4,250,250,21,43,0,0.9703,0,False,8.817,0.529,,0.0%,2/16,43/48,ddqn-no-obstacle,DDQN
44,73.3,250,250,26,42,0,0.9697,0,False,9.315,0.497,,0.0%,12/16,42/48,ddqn-no-obstacle,DDQN
45,67.1,250,250,29,42,0,0.969,0,False,9.862,0.546,,0.0%,8/16,42/48,ddqn-no-obstacle,DDQN
46,70.0,250,250,22,41,0,0.9683,0,False,10.374,0.512,,0.0%,16/16,41/48,ddqn-no-obstacle,DDQN
47,79.8,250,250,23,44,0,0.9676,0,False,10.981,0.606,,0.0%,10/16,44/48,ddqn-no-obstacle,DDQN
48,76.1,250,250,22,44,0,0.9669,0,False,11.467,0.485,,0.0%,10/16,44/48,ddqn-no-obstacle,DDQN
49,45.9,250,250,26,38,0,0.9663,0,False,11.956,0.489,,0.0%,12/16,38/48,ddqn-no-obstacle,DDQN
50,87.9,250,250,19,45,0,0.9656,0,False,12.445,0.488,,0.0%,16/16,45/48,ddqn-no-obstacle,DDQN
51,80.5,250,250,19,44,0,0.9649,0,False,12.972,0.526,,0.0%,16/16,44/48,ddqn-no-obstacle,DDQN
52,92.7,250,250,22,45,0,0.9642,0,False,13.467,0.494,,0.0%,2/16,45/48,ddqn-no-obstacle,DDQN
53,49.5,250,250,24,38,0,0.9636,0,False,13.978,0.51,,0.0%,6/16,38/48,ddqn-no-obstacle,DDQN
