[2026-04-09 10:06:50] train_start model=DQN algorithm=DQN name=dqn-no-obstacle episodes=6000 obstacle_map=Yok
[2026-04-09 10:07:31] ep=100 success_100=1/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.9324 time_100=45.96s total_time=45.96s
[2026-04-09 10:08:38] ep=200 success_100=1/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.8693 time_100=72.18s total_time=118.15s
[2026-04-09 10:09:36] ep=300 success_100=1/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.8105 time_100=63.49s total_time=181.63s
[2026-04-09 10:10:35] ep=400 success_100=3/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.7557 time_100=63.31s total_time=244.94s
[2026-04-09 10:11:33] ep=500 success_100=1/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.7046 time_100=63.81s total_time=308.76s
[2026-04-09 10:12:33] ep=600 success_100=10/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.6570 time_100=64.14s total_time=372.90s
[2026-04-09 10:13:33] ep=700 success_100=14/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.6125 time_100=65.80s total_time=438.69s
[2026-04-09 10:14:37] ep=800 success_100=17/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.5711 time_100=68.78s total_time=507.48s
[2026-04-09 10:15:34] ep=900 success_100=19/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.5325 time_100=62.01s total_time=569.49s
[2026-04-09 10:16:27] ep=1000 success_100=22/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.4965 time_100=57.60s total_time=627.09s
[2026-04-09 10:17:20] ep=1100 success_100=19/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.4629 time_100=57.59s total_time=684.68s
[2026-04-09 10:18:16] ep=1200 success_100=29/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.4316 time_100=59.06s total_time=743.74s
[2026-04-09 10:19:14] ep=1300 success_100=34/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.4024 time_100=65.35s total_time=809.09s
[2026-04-09 10:20:17] ep=1400 success_100=34/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.3752 time_100=68.01s total_time=877.10s
[2026-04-09 10:21:22] ep=1500 success_100=36/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.3498 time_100=69.72s total_time=946.82s
[2026-04-09 10:22:23] ep=1600 success_100=36/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.3262 time_100=66.39s total_time=1013.22s
[2026-04-09 10:23:25] ep=1700 success_100=42/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.3041 time_100=66.15s total_time=1079.36s
[2026-04-09 10:24:21] ep=1800 success_100=48/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.2835 time_100=60.94s total_time=1140.31s
[2026-04-09 10:25:18] ep=1900 success_100=42/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.2644 time_100=62.33s total_time=1202.64s
[2026-04-09 10:26:17] ep=2000 success_100=58/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.2465 time_100=63.98s total_time=1266.62s
[2026-04-09 10:27:14] ep=2100 success_100=64/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.1000 time_100=62.10s total_time=1328.72s
[2026-04-09 10:28:10] ep=2200 success_100=55/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.1000 time_100=60.81s total_time=1389.52s
[2026-04-09 10:29:09] ep=2300 success_100=58/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.1000 time_100=61.76s total_time=1451.28s
[2026-04-09 10:30:07] ep=2400 success_100=51/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.1000 time_100=62.55s total_time=1513.83s
[2026-04-09 10:31:03] ep=2500 success_100=61/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.1000 time_100=61.64s total_time=1575.47s
[2026-04-09 10:32:03] ep=2600 success_100=62/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.1000 time_100=64.78s total_time=1640.25s
[2026-04-09 10:33:01] ep=2700 success_100=46/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.1000 time_100=62.34s total_time=1702.59s
[2026-04-09 10:34:09] ep=2800 success_100=47/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.1000 time_100=72.93s total_time=1775.51s
[2026-04-09 10:35:07] ep=2900 success_100=42/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.1000 time_100=65.89s total_time=1841.40s
[2026-04-09 10:36:10] ep=3000 success_100=3/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.1000 time_100=67.88s total_time=1909.28s
