episode,reward,steps,energy,charge_visits,cleaned_cells,success,epsilon,blocked,battery_dead,time_since_start_sec,episode_chunk_time_sec,stop_reason,success_rate,battery,cleaned,model_name,algorithm
1,69.2,250,250,30,42,0,0.9993,0,False,0.01,0.01,,0.0%,16/16,42/48,dqn-no-obstacle,DQN
2,64.2,250,250,21,42,0,0.9986,0,False,0.029,0.017,,0.0%,6/16,42/48,dqn-no-obstacle,DQN
3,69.2,250,250,28,42,0,0.9979,0,False,0.275,0.046,,0.0%,10/16,42/48,dqn-no-obstacle,DQN
4,51.3,250,250,22,39,0,0.9972,0,False,0.373,0.008,,0.0%,4/16,39/48,dqn-no-obstacle,DQN
5,73.7,250,250,22,43,0,0.9965,0,False,0.512,0.008,,0.0%,6/16,43/48,dqn-no-obstacle,DQN
6,72.5,250,250,20,42,0,0.9958,0,False,0.651,0.019,,0.0%,8/16,42/48,dqn-no-obstacle,DQN
7,75.6,250,250,24,43,0,0.9951,0,False,0.767,0.007,,0.0%,12/16,43/48,dqn-no-obstacle,DQN
8,98.7,250,250,19,47,0,0.9944,0,False,0.895,0.008,,0.0%,2/16,47/48,dqn-no-obstacle,DQN
9,62.2,250,250,24,40,0,0.9937,0,False,1.135,0.007,,0.0%,4/16,40/48,dqn-no-obstacle,DQN
10,70.5,250,250,23,41,0,0.993,0,False,1.259,0.005,,0.0%,4/16,41/48,dqn-no-obstacle,DQN
11,36.5,250,250,32,37,0,0.9923,0,False,1.389,0.005,,0.0%,8/16,37/48,dqn-no-obstacle,DQN
12,75.6,250,250,23,43,0,0.9916,0,False,1.503,0.007,,0.0%,8/16,43/48,dqn-no-obstacle,DQN
13,80.9,250,250,24,43,0,0.9909,0,False,1.712,0.01,,0.0%,16/16,43/48,dqn-no-obstacle,DQN
14,65.2,250,250,23,40,0,0.9902,0,False,1.845,0.007,,0.0%,16/16,40/48,dqn-no-obstacle,DQN
15,54.7,250,250,24,39,0,0.9896,0,False,2.055,0.006,,0.0%,8/16,39/48,dqn-no-obstacle,DQN
16,64.2,250,250,25,40,0,0.9889,0,False,2.197,0.005,,0.0%,16/16,40/48,dqn-no-obstacle,DQN
17,50.0,250,250,27,38,0,0.9882,0,False,2.505,0.091,,0.0%,2/16,38/48,dqn-no-obstacle,DQN
18,61.0,250,250,25,40,0,0.9875,0,False,2.561,0.006,,0.0%,4/16,40/48,dqn-no-obstacle,DQN
19,70.1,250,250,23,42,0,0.9868,0,False,2.761,0.066,,0.0%,8/16,42/48,dqn-no-obstacle,DQN
20,75.5,250,250,21,42,0,0.9861,0,False,3.112,0.163,,0.0%,6/16,42/48,dqn-no-obstacle,DQN
21,71.1,250,250,30,42,0,0.9854,0,False,3.2,0.007,,0.0%,14/16,42/48,dqn-no-obstacle,DQN
22,79.8,250,250,21,44,0,0.9847,0,False,3.339,0.007,,0.0%,2/16,44/48,dqn-no-obstacle,DQN
23,57.3,250,250,23,38,0,0.984,0,False,3.591,0.034,,0.0%,14/16,38/48,dqn-no-obstacle,DQN
24,77.6,250,250,22,44,0,0.9833,0,False,3.696,0.007,,0.0%,6/16,44/48,dqn-no-obstacle,DQN
25,38.3,250,250,25,36,0,0.9826,0,False,3.923,0.005,,0.0%,6/16,36/48,dqn-no-obstacle,DQN
26,58.8,250,250,22,39,0,0.982,0,False,4.048,0.005,,0.0%,14/16,39/48,dqn-no-obstacle,DQN
27,40.5,250,250,21,35,0,0.9813,0,False,4.316,0.144,,0.0%,8/16,35/48,dqn-no-obstacle,DQN
28,72.2,250,250,24,43,0,0.9806,0,False,4.32,0.003,,0.0%,12/16,43/48,dqn-no-obstacle,DQN
29,51.3,250,250,19,37,0,0.9799,0,False,4.472,0.008,,0.0%,12/16,37/48,dqn-no-obstacle,DQN
30,71.8,250,250,20,42,0,0.9792,0,False,4.695,0.006,,0.0%,2/16,42/48,dqn-no-obstacle,DQN
31,50.9,250,250,23,39,0,0.9785,0,False,4.935,0.006,,0.0%,8/16,39/48,dqn-no-obstacle,DQN
32,76.4,250,250,22,43,0,0.9778,0,False,5.079,0.008,,0.0%,2/16,43/48,dqn-no-obstacle,DQN
33,47.2,250,250,23,38,0,0.9772,0,False,5.563,0.13,,0.0%,6/16,38/48,dqn-no-obstacle,DQN
34,52.1,250,250,27,39,0,0.9765,0,False,5.877,0.217,,0.0%,16/16,39/48,dqn-no-obstacle,DQN
35,68.8,250,250,22,40,0,0.9758,0,False,6.221,0.239,,0.0%,8/16,40/48,dqn-no-obstacle,DQN
36,49.5,250,250,25,38,0,0.9751,0,False,6.5,0.175,,0.0%,14/16,38/48,dqn-no-obstacle,DQN
37,69.9,250,250,21,42,0,0.9744,0,False,6.661,0.068,,0.0%,4/16,42/48,dqn-no-obstacle,DQN
38,87.9,250,250,20,45,0,0.9737,0,False,6.834,0.097,,0.0%,12/16,45/48,dqn-no-obstacle,DQN
39,63.7,250,250,23,41,0,0.9731,0,False,6.888,0.007,,0.0%,2/16,41/48,dqn-no-obstacle,DQN
40,47.5,250,250,18,37,0,0.9724,0,False,7.012,0.005,,0.0%,2/16,37/48,dqn-no-obstacle,DQN
41,79.6,250,250,23,44,0,0.9717,0,False,8.042,0.734,,0.0%,6/16,44/48,dqn-no-obstacle,DQN
42,68.9,250,250,27,42,0,0.971,0,False,8.779,0.737,,0.0%,12/16,42/48,dqn-no-obstacle,DQN
43,62.5,250,250,27,41,0,0.9703,0,False,9.278,0.498,,0.0%,4/16,41/48,dqn-no-obstacle,DQN
44,49.6,250,250,22,38,0,0.9697,0,False,9.863,0.584,,0.0%,10/16,38/48,dqn-no-obstacle,DQN
45,52.3,250,250,22,39,0,0.969,0,False,10.561,0.698,,0.0%,16/16,39/48,dqn-no-obstacle,DQN
46,78.8,250,250,21,43,0,0.9683,0,False,11.053,0.492,,0.0%,10/16,43/48,dqn-no-obstacle,DQN
47,73.3,250,250,23,41,0,0.9676,0,False,11.634,0.58,,0.0%,16/16,41/48,dqn-no-obstacle,DQN
48,81.3,250,250,20,43,0,0.9669,0,False,12.141,0.506,,0.0%,14/16,43/48,dqn-no-obstacle,DQN
49,73.1,250,250,24,42,0,0.9663,0,False,12.775,0.633,,0.0%,10/16,42/48,dqn-no-obstacle,DQN
50,73.9,250,250,23,43,0,0.9656,0,False,13.288,0.513,,0.0%,12/16,43/48,dqn-no-obstacle,DQN
51,70.5,250,250,26,42,0,0.9649,0,False,13.802,0.513,,0.0%,2/16,42/48,dqn-no-obstacle,DQN
52,79.5,250,250,22,43,0,0.9642,0,False,14.306,0.504,,0.0%,8/16,43/48,dqn-no-obstacle,DQN
53,86.8,250,250,19,44,0,0.9636,0,False,14.85,0.543,,0.0%,4/16,44/48,dqn-no-obstacle,DQN
54,85.4,250,250,19,44,0,0.9629,0,False,15.341,0.491,,0.0%,4/16,44/48,dqn-no-obstacle,DQN
55,77.5,250,250,23,43,0,0.9622,0,False,15.941,0.599,,0.0%,6/16,43/48,dqn-no-obstacle,DQN
56,102.3,250,250,19,48,1,0.9615,0,False,16.428,0.487,,2.0%,4/16,48/48,dqn-no-obstacle,DQN
57,79.3,250,250,20,43,0,0.9609,0,False,16.931,0.502,,2.0%,16/16,43/48,dqn-no-obstacle,DQN
58,92.2,250,250,23,45,0,0.9602,0,False,17.439,0.507,,2.0%,12/16,45/48,dqn-no-obstacle,DQN
59,70.6,250,250,26,42,0,0.9595,0,False,17.937,0.497,,2.0%,16/16,42/48,dqn-no-obstacle,DQN
60,52.5,250,250,28,40,0,0.9589,0,False,18.503,0.566,,2.0%,10/16,40/48,dqn-no-obstacle,DQN
61,72.1,250,250,25,43,0,0.9582,0,False,19.361,0.857,,2.0%,16/16,43/48,dqn-no-obstacle,DQN
62,75.1,250,250,22,43,0,0.9575,0,False,20.167,0.806,,2.0%,12/16,43/48,dqn-no-obstacle,DQN
63,92.3,250,250,25,45,0,0.9568,0,False,20.711,0.543,,2.0%,6/16,45/48,dqn-no-obstacle,DQN
64,71.2,250,250,20,41,0,0.9562,0,False,21.766,1.054,,2.0%,8/16,41/48,dqn-no-obstacle,DQN
